Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
C9orf102,0.0681,0.0513,1.3278,1.85E-01,0.9129
C1orf115,-0.0758,0.0571,-1.3274,1.85E-01,0.9129
RPSA,-0.0861,0.0648,-1.3273,1.85E-01,0.9129
BTBD18,0.0773,0.0582,1.3272,1.85E-01,0.9129
ERCC6,0.0607,0.0458,1.3272,1.85E-01,0.9129
PAPD7,-0.063,0.0475,-1.327,1.85E-01,0.9129
RAB7A,0.0565,0.0426,1.3269,1.85E-01,0.9129
PLD6,0.0676,0.051,1.3268,1.86E-01,0.9129
UPF3B,-0.0621,0.0468,-1.3267,1.86E-01,0.9129
PRAMEF11,0.0734,0.0553,1.3267,1.86E-01,0.9129
PPP1R13L,-0.0778,0.0586,-1.3266,1.86E-01,0.9129
FBXO27,0.0766,0.0577,1.3266,1.86E-01,0.9129
HMGN5,-0.0726,0.0547,-1.3266,1.86E-01,0.9129
C2orf34,-0.0669,0.0505,-1.3265,1.86E-01,0.9129
ORAI3,-0.0714,0.0538,-1.3263,1.86E-01,0.9129
SH3BP5L,-0.0649,0.0489,-1.3262,1.86E-01,0.9129
UBL5,-0.0661,0.0499,-1.3262,1.86E-01,0.9129
KRT9,0.0727,0.0548,1.3262,1.86E-01,0.9129
TAF4,0.0553,0.0417,1.3262,1.86E-01,0.9129
F13A1,0.0765,0.0577,1.3259,1.86E-01,0.9129
GNPTAB,0.0651,0.0491,1.3259,1.86E-01,0.9129
HEY1,-0.0799,0.0602,-1.3257,1.86E-01,0.9129
ZNF227,-0.0537,0.0405,-1.3256,1.86E-01,0.9129
A2M,0.0738,0.0556,1.3256,1.86E-01,0.9129
TNNT2,-0.0894,0.0674,-1.3256,1.86E-01,0.9129
HOXB5,-0.0826,0.0623,-1.3255,1.86E-01,0.9129
RAB21,0.0554,0.0418,1.3254,1.86E-01,0.9129
C15orf58,0.0741,0.0559,1.3251,1.86E-01,0.9129
POLI,-0.0647,0.0488,-1.3251,1.86E-01,0.9129
RAPGEF1,0.058,0.0438,1.3249,1.86E-01,0.9129
PDE6G,0.0794,0.0599,1.3246,1.86E-01,0.9129
COX6C,-0.0667,0.0504,-1.3245,1.86E-01,0.9129
MTDH,0.0576,0.0435,1.3242,1.86E-01,0.9129
SMARCA5,0.0513,0.0387,1.3242,1.86E-01,0.9129
UACA,-0.0676,0.0511,-1.3242,1.86E-01,0.9129
POLE3,0.055,0.0416,1.3234,1.87E-01,0.9129
RBM18,0.054,0.0408,1.3234,1.87E-01,0.9129
RC3H2,0.0651,0.0492,1.3232,1.87E-01,0.9129
KIAA0495,-0.0607,0.0459,-1.3229,1.87E-01,0.9129
ZNF197,-0.0549,0.0415,-1.3229,1.87E-01,0.9129
PADI4,-0.0817,0.0618,-1.3228,1.87E-01,0.9129
C1orf170,-0.0828,0.0626,-1.3228,1.87E-01,0.9129
ZNF605,-0.0591,0.0447,-1.3226,1.87E-01,0.9129
VCY,-0.0758,0.0573,-1.3226,1.87E-01,0.9129
BACH1,0.0581,0.0439,1.3225,1.87E-01,0.9129
C17orf71,0.0543,0.041,1.3225,1.87E-01,0.9129
NAALAD2,-0.0725,0.0548,-1.3225,1.87E-01,0.9129
KLF15,-0.0819,0.062,-1.3223,1.87E-01,0.9129
NCRNA00115,-0.0691,0.0523,-1.3221,1.87E-01,0.9129
SLMO2,0.0557,0.0422,1.3221,1.87E-01,0.9129
HSPH1,0.0627,0.0474,1.3217,1.87E-01,0.9129
LOC100286793,-0.0761,0.0576,-1.3215,1.87E-01,0.9129
CCDC66,-0.0606,0.0458,-1.3215,1.87E-01,0.9129
SRP72,0.0512,0.0387,1.3215,1.87E-01,0.9129
PVRL1,0.0755,0.0571,1.3214,1.87E-01,0.9129
EHHADH,-0.0673,0.0509,-1.3214,1.87E-01,0.9129
RP9,-0.0769,0.0582,-1.3213,1.87E-01,0.9129
PDE12,0.0567,0.043,1.3211,1.87E-01,0.9129
C17orf103,0.0702,0.0532,1.321,1.87E-01,0.9129
GDNF,-0.076,0.0576,-1.3208,1.87E-01,0.9129
ZBTB42,-0.0676,0.0512,-1.3206,1.88E-01,0.9129
UBXN11,-0.0753,0.0571,-1.3203,1.88E-01,0.9129
GNA13,0.0534,0.0405,1.3201,1.88E-01,0.9129
ZNF606,-0.0603,0.0457,-1.3201,1.88E-01,0.9129
TTLL12,0.0727,0.0551,1.3199,1.88E-01,0.9129
LAMP3,0.0742,0.0562,1.3199,1.88E-01,0.9129
GPCPD1,-0.0764,0.0578,-1.3199,1.88E-01,0.9129
BMF,-0.0697,0.0528,-1.3197,1.88E-01,0.9129
PFN1,0.0664,0.0503,1.3196,1.88E-01,0.9129
CEP290,-0.0601,0.0455,-1.3195,1.88E-01,0.9129
EMD,0.0617,0.0468,1.3193,1.88E-01,0.9129
IL1R1,0.0723,0.0548,1.3191,1.88E-01,0.9129
MCRS1,-0.0583,0.0442,-1.3189,1.88E-01,0.9129
ABHD2,0.0719,0.0545,1.3187,1.88E-01,0.9129
C1orf156,-0.0617,0.0468,-1.3187,1.88E-01,0.9129
PNMT,-0.0888,0.0673,-1.3186,1.88E-01,0.9129
RAPGEF4,-0.0687,0.0521,-1.3186,1.88E-01,0.9129
LIPK,0.0731,0.0554,1.3186,1.88E-01,0.9129
SERPINI1,-0.0782,0.0593,-1.3186,1.88E-01,0.9129
SMR3B,-0.0721,0.0547,-1.3185,1.88E-01,0.9129
C4orf6,0.0782,0.0593,1.3184,1.88E-01,0.9129
SLC36A4,0.0763,0.0578,1.3182,1.88E-01,0.9129
ZNF100,-0.0625,0.0474,-1.3176,1.89E-01,0.9129
DENND4C,0.0566,0.043,1.3175,1.89E-01,0.9129
ACAD11,-0.067,0.0509,-1.3175,1.89E-01,0.9129
SARS,0.0616,0.0467,1.3171,1.89E-01,0.9129
TRIML2,-0.0725,0.0551,-1.317,1.89E-01,0.9129
CALHM1,-0.0704,0.0535,-1.3169,1.89E-01,0.9129
ADCY1,0.0809,0.0614,1.3166,1.89E-01,0.9129
TTPA,-0.0731,0.0556,-1.3165,1.89E-01,0.9129
NUDT6,-0.064,0.0486,-1.3165,1.89E-01,0.9129
HIST1H4I,-0.0877,0.0666,-1.3164,1.89E-01,0.9129
ZNF793,-0.0625,0.0475,-1.3163,1.89E-01,0.9129
PCDHB14,-0.0805,0.0611,-1.3162,1.89E-01,0.9129
NRBP1,0.0592,0.045,1.3158,1.89E-01,0.9129
FIGN,-0.0779,0.0592,-1.3158,1.89E-01,0.9129
ARFGAP3,0.0682,0.0518,1.3155,1.89E-01,0.9129
DHPS,-0.0633,0.0482,-1.3153,1.89E-01,0.9129
WNT4,-0.0795,0.0604,-1.3152,1.89E-01,0.9129
HSP90B3P,0.0918,0.0698,1.3152,1.89E-01,0.9129
NDUFS6,-0.0693,0.0527,-1.3152,1.89E-01,0.9129
CS,0.0584,0.0444,1.3152,1.89E-01,0.9129
PHKG2,-0.0702,0.0534,-1.3149,1.89E-01,0.9129
MMACHC,0.0621,0.0472,1.3148,1.90E-01,0.9129
SCN8A,-0.0727,0.0553,-1.3147,1.90E-01,0.9129
DUS1L,-0.0703,0.0535,-1.3145,1.90E-01,0.9129
FAM54B,-0.0565,0.043,-1.3144,1.90E-01,0.9129
NPNT,-0.0792,0.0602,-1.3144,1.90E-01,0.9129
MYH9,0.0628,0.0478,1.3143,1.90E-01,0.9129
NPPA,-0.0885,0.0673,-1.3142,1.90E-01,0.9129
HAL,-0.0823,0.0627,-1.3137,1.90E-01,0.9129
ACBD6,-0.0691,0.0526,-1.3136,1.90E-01,0.9129
OASL,0.0821,0.0625,1.3135,1.90E-01,0.9129
STARD4,0.0684,0.0521,1.3133,1.90E-01,0.9129
SCARNA16,-0.0821,0.0625,-1.3128,1.90E-01,0.9129
LOC729020,0.0811,0.0618,1.3127,1.90E-01,0.9129
CCDC127,-0.0558,0.0425,-1.3125,1.90E-01,0.9129
MAP1S,-0.0723,0.0551,-1.3124,1.90E-01,0.9129
DRG2,0.0603,0.046,1.3123,1.90E-01,0.9129
GNG3,-0.074,0.0564,-1.3116,1.91E-01,0.9129
DNAJB1,-0.0662,0.0505,-1.3115,1.91E-01,0.9129
PCCA,0.0733,0.0559,1.3114,1.91E-01,0.9129
MGC23284,0.0729,0.0556,1.3113,1.91E-01,0.9129
SIVA1,-0.0729,0.0556,-1.3113,1.91E-01,0.9129
CPXM1,0.0755,0.0576,1.3113,1.91E-01,0.9129
C19orf18,-0.0815,0.0621,-1.3111,1.91E-01,0.9129
GNAI3,0.0503,0.0384,1.311,1.91E-01,0.9129
LYST,0.0664,0.0507,1.3109,1.91E-01,0.9129
RETSAT,0.0622,0.0475,1.3109,1.91E-01,0.9129
FXYD2,0.0868,0.0662,1.3108,1.91E-01,0.9129
SERINC4,-0.0878,0.067,-1.3106,1.91E-01,0.9129
PRPSAP2,0.0544,0.0415,1.3104,1.91E-01,0.9129
LOC400027,-0.0629,0.048,-1.3103,1.91E-01,0.9129
XPO6,0.0658,0.0502,1.3103,1.91E-01,0.9129
FAM118B,0.0546,0.0417,1.3102,1.91E-01,0.9129
PCDH15,0.0693,0.0529,1.3102,1.91E-01,0.9129
CDS1,0.0627,0.0479,1.31,1.91E-01,0.9129
C21orf2,-0.0723,0.0552,-1.3097,1.91E-01,0.9129
NFIX,-0.0818,0.0624,-1.3097,1.91E-01,0.9129
HELQ,-0.0467,0.0357,-1.3095,1.91E-01,0.9129
NDUFA2,-0.0716,0.0547,-1.3094,1.91E-01,0.9129
P2RY2,0.0791,0.0604,1.3093,1.91E-01,0.9129
NLGN3,-0.0721,0.0551,-1.3091,1.91E-01,0.9129
NEUROD1,-0.0718,0.0549,-1.3089,1.91E-01,0.9129
SI,-0.0572,0.0437,-1.3089,1.91E-01,0.9129
PPIL1,0.0534,0.0408,1.3088,1.92E-01,0.9129
PRICKLE1,-0.0725,0.0554,-1.3087,1.92E-01,0.9129
SDHAP2,-0.0821,0.0628,-1.3086,1.92E-01,0.9129
EFNB3,0.0767,0.0586,1.3086,1.92E-01,0.9129
RARRES3,0.0824,0.0629,1.3085,1.92E-01,0.9129
EPC1,0.0634,0.0484,1.3083,1.92E-01,0.9129
TTC18,-0.0786,0.0601,-1.3081,1.92E-01,0.9129
LST1,0.0816,0.0624,1.308,1.92E-01,0.9129
MYL6B,-0.0693,0.053,-1.308,1.92E-01,0.9129
FTSJ1,0.0565,0.0432,1.3079,1.92E-01,0.9129
SAMD9L,0.0718,0.0549,1.3078,1.92E-01,0.9129
LOC201651,-0.0765,0.0585,-1.3076,1.92E-01,0.9129
LXN,-0.078,0.0596,-1.3076,1.92E-01,0.9129
TOP1P1,0.0733,0.0561,1.3073,1.92E-01,0.9129
FADS1,0.0706,0.054,1.3073,1.92E-01,0.9129
FLJ37453,-0.0622,0.0476,-1.3072,1.92E-01,0.9129
TMEM190,-0.0867,0.0663,-1.3072,1.92E-01,0.9129
C16orf93,-0.0783,0.0599,-1.3071,1.92E-01,0.9129
LYSMD1,-0.0622,0.0476,-1.307,1.92E-01,0.9129
ZFYVE28,0.074,0.0566,1.3069,1.92E-01,0.9129
SIRT3,-0.0659,0.0504,-1.3067,1.92E-01,0.9129
GPR75,0.0739,0.0565,1.3067,1.92E-01,0.9129
FBXO6,0.0739,0.0566,1.3066,1.92E-01,0.9129
SLC2A1,0.0732,0.056,1.3066,1.92E-01,0.9129
SSR2,-0.0638,0.0488,-1.3066,1.92E-01,0.9129
CASP12,-0.073,0.0559,-1.3066,1.92E-01,0.9129
RPL35A,-0.0623,0.0477,-1.3065,1.92E-01,0.9129
SPSB3,-0.0681,0.0522,-1.3065,1.92E-01,0.9129
FMNL1,0.0721,0.0552,1.3064,1.92E-01,0.9129
SDCCAG8,-0.0644,0.0493,-1.3062,1.92E-01,0.9129
ZNF787,-0.0691,0.0529,-1.306,1.92E-01,0.9129
MAK16,0.0597,0.0457,1.3055,1.93E-01,0.9129
DCAF4,0.0604,0.0462,1.3055,1.93E-01,0.9129
ARL5A,0.0563,0.0431,1.3053,1.93E-01,0.9129
FCRL3,0.0765,0.0586,1.3052,1.93E-01,0.9129
ZNF235,-0.0567,0.0434,-1.3051,1.93E-01,0.9129
MRC1,0.0789,0.0604,1.305,1.93E-01,0.9129
SYT13,0.0767,0.0588,1.3048,1.93E-01,0.9129
RGS3,0.0643,0.0493,1.3046,1.93E-01,0.9129
GSDMB,-0.0759,0.0582,-1.3044,1.93E-01,0.9129
MFAP1,0.0521,0.0399,1.3043,1.93E-01,0.9129
C20orf160,-0.0718,0.0551,-1.3042,1.93E-01,0.9129
MBNL2,0.0619,0.0475,1.3042,1.93E-01,0.9129
TMEM128,-0.0517,0.0397,-1.3041,1.93E-01,0.9129
SETX,0.0512,0.0392,1.304,1.93E-01,0.9129
TRIM39,-0.0496,0.038,-1.3039,1.93E-01,0.9129
TMEFF2,-0.0698,0.0536,-1.3039,1.93E-01,0.9129
SF3A2,-0.0682,0.0523,-1.3038,1.93E-01,0.9129
ING1,-0.0595,0.0457,-1.3037,1.93E-01,0.9129
TIGD1,-0.0696,0.0534,-1.3034,1.93E-01,0.9129
ABI2,0.0564,0.0433,1.3034,1.93E-01,0.9129
ATP5D,-0.0797,0.0611,-1.3033,1.93E-01,0.9129
C10orf53,0.0667,0.0512,1.3033,1.93E-01,0.9129
ABHD3,0.0634,0.0486,1.3031,1.93E-01,0.9129
KIF1B,0.062,0.0476,1.3031,1.93E-01,0.9129
RNF24,0.0697,0.0535,1.303,1.94E-01,0.9129
LOC152217,-0.0624,0.0479,-1.3029,1.94E-01,0.9129
BPNT1,0.0637,0.0489,1.3028,1.94E-01,0.9129
ST3GAL4,-0.0694,0.0533,-1.3028,1.94E-01,0.9129
LOC644669,-0.0754,0.0579,-1.3026,1.94E-01,0.9129
MKKS,-0.0514,0.0395,-1.3023,1.94E-01,0.9129
NOX3,-0.0577,0.0443,-1.3023,1.94E-01,0.9129
SP140L,0.0731,0.0562,1.3022,1.94E-01,0.9129
DDB1,0.0585,0.0449,1.3021,1.94E-01,0.9129
PTGS1,0.0751,0.0577,1.3019,1.94E-01,0.9129
HYAL1,-0.0751,0.0577,-1.3019,1.94E-01,0.9129
C1orf157,-0.0844,0.0648,-1.3017,1.94E-01,0.9129
OTUD7A,-0.0816,0.0627,-1.3016,1.94E-01,0.9129
PRAMEF5,0.0773,0.0594,1.3015,1.94E-01,0.9129
ITPK1,0.0738,0.0567,1.3014,1.94E-01,0.9129
C17orf95,-0.0587,0.0451,-1.3013,1.94E-01,0.9129
LRP12,-0.0623,0.0479,-1.3013,1.94E-01,0.9129
TCP11L1,0.068,0.0523,1.3011,1.94E-01,0.9129
LSM5,-0.0586,0.045,-1.301,1.94E-01,0.9129
C14orf101,-0.0593,0.0456,-1.301,1.94E-01,0.9129
USH2A,-0.0791,0.0608,-1.3007,1.94E-01,0.9129
EXT1,0.0589,0.0453,1.3007,1.94E-01,0.9129
SAFB2,-0.0571,0.0439,-1.3006,1.94E-01,0.9129
BHMT2,0.0721,0.0555,1.3004,1.94E-01,0.9129
BHLHE41,0.0782,0.0601,1.3003,1.94E-01,0.9129
SERPINB5,-0.0787,0.0605,-1.3003,1.94E-01,0.9129
FBRS,-0.0595,0.0458,-1.3003,1.94E-01,0.9129
KIAA0087,-0.0782,0.0602,-1.2998,1.95E-01,0.9131
BRAF,0.061,0.047,1.2995,1.95E-01,0.9131
SEC13,0.0631,0.0486,1.2995,1.95E-01,0.9131
SLC35F2,0.0711,0.0547,1.2994,1.95E-01,0.9131
ALOX15,-0.0876,0.0674,-1.2993,1.95E-01,0.9131
WNT5B,-0.0795,0.0612,-1.2991,1.95E-01,0.9131
RCOR3,-0.0621,0.0478,-1.2991,1.95E-01,0.9131
SEL1L3,0.0674,0.0519,1.299,1.95E-01,0.9131
RNF214,-0.0532,0.041,-1.2986,1.95E-01,0.9135
VWF,0.076,0.0586,1.2981,1.95E-01,0.9137
JUN,-0.0747,0.0575,-1.2981,1.95E-01,0.9137
HLA-H,0.0881,0.0679,1.2978,1.95E-01,0.9137
CYBA,0.0805,0.062,1.2976,1.95E-01,0.9137
C9orf78,-0.0559,0.0431,-1.2974,1.95E-01,0.9137
PMS2,-0.059,0.0455,-1.2974,1.95E-01,0.9137
SEMA4B,0.0749,0.0577,1.2974,1.95E-01,0.9137
PRDM12,0.0693,0.0534,1.297,1.96E-01,0.9137
NPTXR,0.0826,0.0637,1.297,1.96E-01,0.9137
SULT4A1,-0.0807,0.0622,-1.2969,1.96E-01,0.9137
ANKRD22,0.0798,0.0615,1.2962,1.96E-01,0.9137
GGCX,0.0587,0.0453,1.2959,1.96E-01,0.9137
LPAR6,-0.0721,0.0557,-1.2957,1.96E-01,0.9137
DNAJA2,0.0553,0.0427,1.2954,1.96E-01,0.9137
C1orf131,-0.0558,0.0431,-1.2953,1.96E-01,0.9137
NR1D2,-0.057,0.044,-1.2952,1.96E-01,0.9137
FTH1,0.0687,0.053,1.2947,1.96E-01,0.9137
LOC650368,-0.0862,0.0666,-1.2943,1.96E-01,0.9137
MTP18,0.0674,0.0521,1.2943,1.96E-01,0.9137
SFTA3,0.0667,0.0516,1.2942,1.97E-01,0.9137
PGLS,-0.0721,0.0557,-1.294,1.97E-01,0.9137
NOL3,-0.0732,0.0566,-1.2939,1.97E-01,0.9137
CRYL1,0.0736,0.0569,1.2939,1.97E-01,0.9137
THBD,0.0711,0.0549,1.2938,1.97E-01,0.9137
GANAB,0.0558,0.0431,1.2938,1.97E-01,0.9137
CNTD1,-0.0827,0.0639,-1.2937,1.97E-01,0.9137
C2orf74,-0.0723,0.0559,-1.2935,1.97E-01,0.9137
UPF1,-0.0545,0.0421,-1.2934,1.97E-01,0.9137
KLHL14,-0.0681,0.0526,-1.2933,1.97E-01,0.9137
TMEM35,-0.0743,0.0575,-1.2933,1.97E-01,0.9137
AP1S3,0.0711,0.055,1.2929,1.97E-01,0.9137
UGT1A6,0.0812,0.0628,1.2929,1.97E-01,0.9137
PID1,0.0792,0.0613,1.2927,1.97E-01,0.9137
GOLGA8G,0.0874,0.0676,1.2926,1.97E-01,0.9137
ESRP2,0.0664,0.0514,1.2925,1.97E-01,0.9137
CRBN,-0.0549,0.0425,-1.2925,1.97E-01,0.9137
C5orf43,-0.056,0.0433,-1.2924,1.97E-01,0.9137
CAPN1,0.0659,0.051,1.2924,1.97E-01,0.9137
FLT4,-0.0753,0.0582,-1.2922,1.97E-01,0.9137
MFSD8,0.0519,0.0402,1.2921,1.97E-01,0.9137
MASP1,0.0792,0.0613,1.292,1.97E-01,0.9137
DGKZ,-0.0718,0.0556,-1.2918,1.97E-01,0.9137
RBM3,0.0645,0.0499,1.2917,1.97E-01,0.9137
CCL23,0.0769,0.0596,1.2917,1.97E-01,0.9137
MRPL9,-0.0601,0.0465,-1.2916,1.97E-01,0.9137
MRO,0.0776,0.0601,1.2915,1.97E-01,0.9137
TACR2,-0.0825,0.0639,-1.2914,1.97E-01,0.9137
SAMD5,0.0714,0.0553,1.2914,1.97E-01,0.9137
SOCS3,0.0726,0.0563,1.2913,1.98E-01,0.9137
PRKCB,0.076,0.0588,1.2913,1.98E-01,0.9137
GABARAPL2,0.0543,0.0421,1.2906,1.98E-01,0.9137
INO80C,-0.0589,0.0456,-1.2905,1.98E-01,0.9137
S100PBP,-0.0509,0.0395,-1.2903,1.98E-01,0.9137
TREM1,0.0807,0.0625,1.2902,1.98E-01,0.9137
KIAA1841,-0.0677,0.0525,-1.2899,1.98E-01,0.9137
HIPK4,0.0809,0.0627,1.2899,1.98E-01,0.9137
PFKP,0.0747,0.0579,1.2897,1.98E-01,0.9137
GAPT,0.0775,0.0601,1.2896,1.98E-01,0.9137
CBR1,0.0698,0.0541,1.2896,1.98E-01,0.9137
TKTL1,0.0783,0.0608,1.2895,1.98E-01,0.9137
ZNF74,-0.0639,0.0496,-1.2891,1.98E-01,0.9137
ZDHHC5,0.0526,0.0408,1.289,1.98E-01,0.9137
RGN,-0.0703,0.0546,-1.289,1.98E-01,0.9137
LGALS12,0.0852,0.0661,1.289,1.98E-01,0.9137
RGMB,-0.0629,0.0488,-1.2889,1.98E-01,0.9137
C1orf114,-0.0726,0.0564,-1.2887,1.98E-01,0.9137
HPS6,0.0588,0.0457,1.2887,1.98E-01,0.9137
RBCK1,-0.0621,0.0482,-1.2886,1.98E-01,0.9137
C7orf26,-0.0548,0.0426,-1.2886,1.98E-01,0.9137
S100B,0.0798,0.0619,1.2884,1.99E-01,0.9137
MTMR11,-0.0698,0.0542,-1.288,1.99E-01,0.9141
MBOAT2,-0.0738,0.0573,-1.2879,1.99E-01,0.9141
RAI1,0.0597,0.0464,1.2867,1.99E-01,0.9142
CLTC,0.0563,0.0438,1.2865,1.99E-01,0.9142
PALLD,0.0639,0.0496,1.2861,1.99E-01,0.9142
ADAM11,-0.0761,0.0592,-1.2861,1.99E-01,0.9142
C1orf144,0.0588,0.0457,1.286,1.99E-01,0.9142
NDRG1,0.0742,0.0577,1.2859,1.99E-01,0.9142
SART1,-0.0644,0.0501,-1.2858,1.99E-01,0.9142
BTBD1,0.0527,0.041,1.2854,2.00E-01,0.9142
C2orf81,-0.0768,0.0598,-1.2853,2.00E-01,0.9142
FAM128A,-0.0805,0.0627,-1.2852,2.00E-01,0.9142
TMEM87B,0.0578,0.045,1.2852,2.00E-01,0.9142
TRRAP,0.0574,0.0447,1.2851,2.00E-01,0.9142
CYP17A1,-0.0855,0.0665,-1.2849,2.00E-01,0.9142
FAM118A,-0.0674,0.0525,-1.2849,2.00E-01,0.9142
ARHGEF17,0.0615,0.0479,1.2848,2.00E-01,0.9142
SDK2,0.0784,0.061,1.2846,2.00E-01,0.9142
OR5C1,-0.0817,0.0636,-1.2846,2.00E-01,0.9142
FAM50A,-0.0725,0.0564,-1.2845,2.00E-01,0.9142
ICOS,0.0738,0.0575,1.2844,2.00E-01,0.9142
GAS5,-0.0782,0.0609,-1.2841,2.00E-01,0.9142
SPG11,0.0564,0.0439,1.2841,2.00E-01,0.9142
UGT2B10,0.0879,0.0684,1.284,2.00E-01,0.9142
ADK,0.0665,0.0518,1.2839,2.00E-01,0.9142
C16orf87,0.0613,0.0477,1.2838,2.00E-01,0.9142
ARPP19,0.0514,0.04,1.2838,2.00E-01,0.9142
SPPL2B,-0.0668,0.052,-1.2837,2.00E-01,0.9142
PSMD5,0.0586,0.0457,1.2836,2.00E-01,0.9142
DENND1C,0.0632,0.0492,1.2836,2.00E-01,0.9142
PSMB7,-0.0652,0.0508,-1.2836,2.00E-01,0.9142
S100A8,0.0889,0.0693,1.2835,2.00E-01,0.9142
WDR90,-0.071,0.0554,-1.2834,2.00E-01,0.9142
LOC646999,-0.0708,0.0552,-1.2831,2.00E-01,0.9146
SENP5,-0.0543,0.0423,-1.2829,2.00E-01,0.9146
EFNA5,-0.0787,0.0613,-1.2827,2.00E-01,0.9147
PRAMEF9,0.0767,0.0598,1.2821,2.01E-01,0.9149
ABCF1,0.0558,0.0435,1.2821,2.01E-01,0.9149
TRIM37,0.0533,0.0416,1.2818,2.01E-01,0.9149
SLC28A3,0.0793,0.0619,1.2818,2.01E-01,0.9149
PGPEP1L,-0.0706,0.0551,-1.2816,2.01E-01,0.9149
NUDT13,-0.0699,0.0545,-1.2814,2.01E-01,0.9149
KRTAP11-1,-0.0713,0.0557,-1.2813,2.01E-01,0.9149
RAB1A,0.0499,0.039,1.2812,2.01E-01,0.9149
NAGK,0.06,0.0468,1.2811,2.01E-01,0.9149
OR10H1,-0.0745,0.0582,-1.281,2.01E-01,0.9149
ARHGEF6,0.0641,0.0501,1.2809,2.01E-01,0.9149
RIC8A,0.0543,0.0424,1.2809,2.01E-01,0.9149
FOXL2,0.0754,0.0589,1.2808,2.01E-01,0.9149
ABCC3,0.0804,0.0628,1.2802,2.01E-01,0.915
ZNF253,-0.0776,0.0607,-1.2799,2.01E-01,0.915
ZC3HAV1L,0.0735,0.0574,1.2799,2.02E-01,0.915
BRAP,-0.0489,0.0382,-1.2797,2.02E-01,0.915
FBXO22,0.0532,0.0416,1.2796,2.02E-01,0.915
C17orf81,-0.0614,0.048,-1.2796,2.02E-01,0.915
SLC37A3,0.0573,0.0448,1.2795,2.02E-01,0.915
KIAA0114,-0.078,0.0609,-1.2794,2.02E-01,0.915
NCR1,0.0761,0.0595,1.2792,2.02E-01,0.915
TPI1,0.0685,0.0535,1.279,2.02E-01,0.915
MARCKS,0.0622,0.0487,1.2789,2.02E-01,0.915
TRIM26,0.0544,0.0426,1.2789,2.02E-01,0.915
CHST7,0.0743,0.0581,1.2788,2.02E-01,0.915
RNASE2,0.0798,0.0624,1.2785,2.02E-01,0.9153
MPZL3,0.0731,0.0572,1.2781,2.02E-01,0.9157
SLC26A7,-0.0744,0.0582,-1.278,2.02E-01,0.9157
C7orf57,0.0804,0.0629,1.2778,2.02E-01,0.9157
NEK7,0.0583,0.0457,1.2777,2.02E-01,0.9157
VASN,0.0765,0.0599,1.2772,2.02E-01,0.9163
LOC388955,-0.0776,0.0608,-1.277,2.02E-01,0.9164
CCPG1,0.0605,0.0474,1.2768,2.03E-01,0.9164
SAMD13,-0.0625,0.0489,-1.2766,2.03E-01,0.9164
ZNF8,0.0631,0.0495,1.2766,2.03E-01,0.9164
HADHB,0.0559,0.0438,1.2762,2.03E-01,0.9167
LILRB3,0.0762,0.0597,1.2756,2.03E-01,0.9167
IQCD,0.0744,0.0584,1.2756,2.03E-01,0.9167
NINL,-0.0632,0.0496,-1.2756,2.03E-01,0.9167
IRS4,-0.0692,0.0542,-1.2754,2.03E-01,0.9167
HSD17B14,0.0751,0.0589,1.2753,2.03E-01,0.9167
CHRAC1,-0.0619,0.0486,-1.2753,2.03E-01,0.9167
GTF3C4,0.0591,0.0463,1.2751,2.03E-01,0.9167
POP5,-0.0666,0.0522,-1.275,2.03E-01,0.9167
PHF17,-0.064,0.0502,-1.2749,2.03E-01,0.9167
C19orf6,-0.064,0.0502,-1.2746,2.03E-01,0.9167
C16orf74,0.0777,0.061,1.2743,2.03E-01,0.9167
KCNN3,0.0766,0.0601,1.2741,2.04E-01,0.9167
LY6G6F,-0.0742,0.0582,-1.2739,2.04E-01,0.9167
CPNE3,0.0547,0.043,1.2735,2.04E-01,0.9167
BRD8,-0.0554,0.0435,-1.2735,2.04E-01,0.9167
C9orf150,-0.0732,0.0575,-1.2735,2.04E-01,0.9167
HOXC5,-0.0786,0.0617,-1.2734,2.04E-01,0.9167
PPP1R16A,-0.0669,0.0526,-1.2733,2.04E-01,0.9167
ZNF514,-0.0607,0.0477,-1.273,2.04E-01,0.9167
STOML1,0.0679,0.0533,1.2727,2.04E-01,0.9167
FZD2,-0.0744,0.0585,-1.2726,2.04E-01,0.9167
TP53BP1,0.0534,0.042,1.2725,2.04E-01,0.9167
SHROOM1,-0.0728,0.0572,-1.2723,2.04E-01,0.9167
ZNF267,0.0516,0.0405,1.2722,2.04E-01,0.9167
ZNRD1,-0.0636,0.05,-1.2721,2.04E-01,0.9167
TMOD2,0.0688,0.0541,1.2721,2.04E-01,0.9167
FAM35B,-0.0626,0.0492,-1.272,2.04E-01,0.9167
MTMR10,-0.0581,0.0457,-1.2719,2.04E-01,0.9167
HBXIP,-0.056,0.044,-1.2719,2.04E-01,0.9167
RABGEF1,-0.0517,0.0407,-1.2718,2.04E-01,0.9167
HSFX1,-0.0866,0.0681,-1.2718,2.04E-01,0.9167
SHMT1,0.0672,0.0528,1.2716,2.04E-01,0.9167
HMGN1,-0.0566,0.0445,-1.2716,2.04E-01,0.9167
H1FX,-0.0653,0.0514,-1.2713,2.05E-01,0.9167
ZBTB12,-0.0634,0.0499,-1.2712,2.05E-01,0.9167
